Task,D(best),baseline_omnipred_24m,baseline_embed_regress_proj_t5,baseline_embed_regress_t5_m_cat_from_scratch,Expert_GA,Expert_Grad
AntMorphology-Exact-v0,165.326 ± 0.000,261.090 ± 109.992,303.210 ± 93.778,283.589 ± 100.652,40.590 ± 98.417,195.348 ± 47.150
Superconductor-RandomForest-v0,74.000 ± 0.000,76.992 ± 19.050,74.738 ± 13.214,96.212 ± 15.482,92.935 ± 4.894,94.301 ± 11.061
DKittyMorphology-Exact-v0,199.363 ± 0.000,189.380 ± 73.565,201.711 ± 29.995,204.402 ± 32.955,96.331 ± 64.660,151.810 ± 57.807
TFBind8-Exact-v0,0.439 ± 0.000,0.955 ± 0.032,0.898 ± 0.030,0.895 ± 0.045,0.984 ± 0.007,0.942 ± 0.056
TFBind10-Exact-v0,0.005 ± 0.000,0.622 ± 0.165,0.573 ± 0.087,0.678 ± 0.106,0.905 ± 0.326,0.888 ± 0.229
HopperController-Exact-v0,1361.611 ± 0.000,308.036 ± 274.351,405.308 ± 214.166,482.254 ± 125.782,639.450 ± 134.966,1529.526 ± 639.173
gtopx_data_2_1,-195.586 ± 0.000,-129.674 ± 57.504,-128.928 ± 60.298,-93.894 ± 28.805,-97.612 ± 33.655,-121.535 ± 16.260
gtopx_data_3_1,-151.190 ± 0.000,-67.643 ± 27.277,-97.385 ± 41.685,-74.488 ± 36.130,-67.554 ± 14.611,-151.190 ± 0.000
gtopx_data_4_1,-215.716 ± 0.000,-135.210 ± 39.812,-109.225 ± 21.155,-87.754 ± 14.505,-108.411 ± 21.875,-215.716 ± 0.000
gtopx_data_6_1,-112.599 ± 0.000,-75.436 ± 22.507,-87.805 ± 44.483,-62.590 ± 16.613,-64.217 ± 14.602,-112.599 ± 0.000
avg_rank,4.150 ± 1.598,\textbf{2.788 ± 1.730},3.250 ± 1.529,2.913 ± 1.334,3.587 ± 1.618,4.312 ± 1.793
