Task,D(best),baseline_omnipred_24m,baseline_embed_regress_proj_t5,baseline_embed_regress_t5_m_cat_from_scratch,Expert_GA,Expert_Grad
AntMorphology-Exact-v0,\textbf{165.326 ± 0.000},-53.668 ± 78.959,-84.330 ± 123.961,-136.650 ± 50.984,-193.489 ± 20.778,-184.293 ± 22.361
Superconductor-RandomForest-v0,74.000 ± 0.000,58.138 ± 10.522,54.243 ± 16.404,\textbf{86.607 ± 12.217},83.599 ± 4.926,82.607 ± 4.616
DKittyMorphology-Exact-v0,\textbf{199.363 ± 0.000},61.883 ± 127.651,-284.011 ± 305.137,-60.763 ± 305.079,-266.973 ± 262.181,-156.352 ± 261.005
TFBind8-Exact-v0,0.439 ± 0.000,0.480 ± 0.020,0.462 ± 0.024,0.427 ± 0.009,\textbf{0.713 ± 0.043},0.459 ± 0.027
TFBind10-Exact-v0,0.005 ± 0.000,-0.077 ± 0.070,-0.073 ± 0.056,-0.053 ± 0.048,\textbf{0.090 ± 0.036},0.014 ± 0.017
HopperController-Exact-v0,\textbf{1361.611 ± 0.000},105.650 ± 103.258,115.755 ± 69.202,179.346 ± 100.710,207.115 ± 125.736,215.435 ± 107.131
gtopx_data_2_1,-195.586 ± 0.000,\textbf{-170.666 ± 62.578},-297.225 ± 259.888,-380.675 ± 548.495,-184.510 ± 16.902,-545.544 ± 56.740
gtopx_data_3_1,\textbf{-151.190 ± 0.000},-235.333 ± 120.779,-479.304 ± 353.803,-269.070 ± 242.372,-157.803 ± 28.110,\textbf{-151.190 ± 0.000}
gtopx_data_4_1,\textbf{-215.716 ± 0.000},-424.366 ± 312.253,-3242.298 ± 8534.350,-414.057 ± 232.700,-332.212 ± 174.522,\textbf{-215.716 ± 0.000}
gtopx_data_6_1,\textbf{-112.599 ± 0.000},-290.885 ± 275.790,-182.602 ± 115.542,-140.929 ± 48.290,-144.262 ± 20.236,\textbf{-112.599 ± 0.000}
avg_rank,\textbf{1.913 ± 1.196},3.188 ± 1.566,3.900 ± 1.625,3.975 ± 1.565,3.913 ± 1.719,4.112 ± 1.423
