task,baseline_omnipred_24m
AntMorphology-Exact-v0,0.2942242696881294
Superconductor-RandomForest-v0,0.3731394410133362
DKittyMorphology-Exact-v0,0.8890253454446793
TFBind8-Exact-v0,0.5835463851690292
TFBind10-Exact-v0,0.4923929125070572
gtopx_data_2_1,0.999928507994875
gtopx_data_3_1,0.9999920833245148
gtopx_data_4_1,0.9999998010245364
gtopx_data_6_1,0.9998834864617848
HopperController-Exact-v0,0.2171572260558605
KP_50,2.0752902030944824
KP_100,2.118955194950104
KP_200,2.18319708108902
TSP_20,0.9763859212398528
TSP_50,0.9840729385614396
TSP_100,0.9693458527326584
RobotPush_256,0.9362767455628492
RobotPush_210,0.791902473042539
HPOB_5906_9914,0.9525756877803928
HPOB_5906_9952,0.8057103474934895
HPOB_5906_3492,0.6216523343351256
