task,baseline_omnipred_24m,baseline_embed_regress_t5_m_cat_from_scratch,baseline_embed_regress_proj_t5,Expert_GA,Expert_Grad
AntMorphology-Exact-v0,-197.42631912231445,-168.48778533935547,-103.9881076812744,-236.30363082885745,-222.0062026977539
Superconductor-RandomForest-v0,65.5666618347168,61.40758514404297,56.27475166320801,69.92683410644531,72.99739074707031
DKittyMorphology-Exact-v0,155.6398887634277,-31.248502254486084,-505.37249755859375,-503.972053527832,-358.9011306762696
TFBind8-Exact-v0,0.3693692609667778,0.3282325938344002,0.3559946268796921,0.6785964667797089,0.483527809381485
TFBind10-Exact-v0,-0.3093343377113342,-0.1982833594083786,-0.1653793826699257,-0.1191640999168157,-0.1543646529316902
gtopx_data_2_1,-102.91719669850562,-151.0318468887628,-2138.7211728647017,-250.99516721183693,-1883.378679464941
gtopx_data_3_1,-182.29824637153115,-429.1456898503429,-1066.2292430446578,-163.3487762537138,-151.18979217783007
gtopx_data_4_1,-351.08228100911987,-522.8166894533008,-366.1793268552197,-317.9154714620931,-215.7155676892416
gtopx_data_6_1,-289.9935949960864,-657.2128379445967,-408.3935736006886,-21454.64928924269,-112.59916211889862
HopperController-Exact-v0,317.4771270751953,174.76456451416016,45.60367012023926,137.58156204223633,69.05680465698242
KP_50,8.55141282081604,9.679838180541992,7.582275032997131,6.88045871257782,6.686471939086914
KP_100,24.79408502578736,21.79622459411621,22.547382354736328,10.928006172180176,23.46326875686645
KP_200,25.175270080566406,19.06397819519043,21.96845817565918,20.36432266235352,23.22378301620484
TSP_20,-10.151553392410278,-12.39047145843506,-12.351685047149658,-8.878742694854736,-11.759033203125
TSP_50,-19.569870948791504,-25.21236276626587,-22.64172744750977,-9.706792831420898,-26.135656356811523
TSP_100,-45.99556064605713,-44.38534450531006,-36.21538734436035,-17.43808126449585,-52.581379890441895
RobotPush_256,0.0042222074787411,-0.033651364863628,-0.0146380287585841,,
RobotPush_210,-0.4257352835462073,0.0,0.0,,
HPOB_5906_9914,-0.9461042881011964,-0.9663279056549072,-0.9471401572227478,-0.9461042881011964,-0.9461042881011964
HPOB_5906_9952,-0.7445772886276245,-0.8342488408088684,-0.8054149150848389,-0.7937793135643005,-0.8166069388389587
HPOB_5906_3492,-0.6869377493858337,-0.6649554371833801,-0.4998856782913208,-0.4997987747192383,-0.5078433603048325
HPOB_5906_3493,-0.6512974500656128,-0.6568647623062134,-0.6572795510292053,-0.6569874882698059,-0.6576085686683655
HPOB_5906_3954,-0.786221444606781,-0.876609206199646,-0.868095874786377,-0.6809011101722717,-0.7700901031494141
HPOB_5906_7295,-0.8323245048522949,-0.8323848247528076,-0.835037112236023,-0.7941262722015381,-0.8130422830581665
