task,baseline_omnipred_24m,baseline_embed_regress_t5_m_cat_from_scratch,baseline_embed_regress_proj_t5,Expert_GA,Expert_Grad,baseline_embed_regress_proj_t5_addmeta
AntMorphology-Exact-v0,-158.56788635253906,-104.65272521972656,46.07329177856445,-197.6268005371093,-183.87936401367188,
Superconductor-RandomForest-v0,68.68013000488281,88.16481018066406,66.41358947753906,72.57717895507812,73.0083999633789,
DKittyMorphology-Exact-v0,191.93658447265625,6.430388927459717,-503.9758911132813,-503.2369384765625,-13.280582427978516,
TFBind8-Exact-v0,0.4621026217937469,0.4200202226638794,0.475972056388855,0.7830474376678467,0.5090813636779785,
TFBind10-Exact-v0,-0.0836920887231826,0.0009232491138391,-0.0370411872863769,0.0483167059719562,0.0433526486158371,
gtopx_data_2_1,-101.26506394415438,-110.6599499504953,-430.481595381674,-178.90392146530456,-538.2774658888721,
gtopx_data_3_1,-146.9600137033187,-194.0988614880506,-1031.0928750540202,-132.07919637447384,-151.18979217783007,
gtopx_data_4_1,-348.6467986628271,-372.2759889558948,-157.51214596058333,-252.0445871555528,-215.7155676892416,
gtopx_data_6_1,-249.1003932763315,-179.59992817003152,-296.7385077784419,-179.6200751181252,-112.59916211889862,
HopperController-Exact-v0,328.20703125,209.76950073242188,46.247352600097656,141.65554809570312,282.891357421875,
KP_50,9.52708911895752,10.04315948486328,8.770519256591797,7.133206367492676,7.537508964538574,
KP_100,26.6372184753418,22.744853973388672,26.12399673461914,14.317904472351074,25.201560974121094,
KP_200,25.68602180480957,19.663801193237305,24.58342361450196,21.57269287109375,24.689918518066406,
TSP_20,-9.55457592010498,-11.826555252075195,-11.737587928771973,-8.381202697753906,-11.631318092346191,
TSP_50,-17.903350830078125,-23.91815185546875,-21.683124542236328,-8.594114303588867,-25.03349494934082,
TSP_100,-44.93821716308594,-40.93904876708984,-33.293296813964844,-14.577973365783691,-51.135887145996094,
RobotPush_256,0.0075204856430968,0.0008365866891056,0.0073626991723559,,,
RobotPush_210,-0.091431847715007,0.0,0.0,,,
HPOB_5906_9914,-0.9461042881011964,-0.9597508907318116,-0.9461042881011964,-0.9461042881011964,-0.9461042881011964,
HPOB_5906_9952,-0.7443363666534424,-0.8342488408088684,-0.8051807880401611,-0.71004718542099,-0.7439959049224854,
HPOB_5906_3492,-0.6869377493858337,-0.6645636260509491,-0.4998856782913208,-0.4997987747192383,-0.5032075047492981,
HPOB_5906_3493,-0.6512503027915955,-0.6568282842636108,-0.6566117405891418,-0.6569336652755737,-0.6575673818588257,
HPOB_5906_3954,-0.7848498225212097,-0.7670432925224304,-0.8666061758995056,-0.6772467195987701,-0.7452189922332764,
HPOB_5906_7295,-0.8320865631103516,-0.8323848247528076,-0.8348187208175659,-0.7941262722015381,-0.8130422830581665,
HPOB_5906_49,-0.6559813618659973,-0.6888982057571411,-0.6497336626052856,-0.3460448682308197,-0.3521229922771454,
HPOB_5906_14965,-0.8885496854782104,-0.888597846031189,-0.9007943868637084,-0.8804959654808044,-0.880348414182663,
HPOB_5906_14951,-0.5508705377578735,-0.5508705377578735,-0.5508705377578735,-0.5511571168899536,-0.5532572865486145,
HPOB_5906_31,-0.7433141469955444,-0.7548342943191528,-0.712799608707428,-0.6994596123695374,-0.6999070048332214,
HPOB_5906_125923,-0.856826901435852,-0.7443851828575134,-0.5605258941650391,-0.5324981510639191,-0.5427102446556091,
HPOB_5906_3,-0.7636620998382568,-0.5240941047668457,-0.9448467493057252,,,
HPOB_5906_3902,-0.8889459371566772,-0.8935507535934448,-0.8825216889381409,,,
HPOB_5906_9957,-0.7495487928390503,-0.8481367230415344,-0.7438516020774841,,,
HPOB_5906_9967,-0.903756469488144,-0.9634840488433838,-0.7152777910232544,,,
HPOB_5906_9983,-0.8343693017959595,-0.5508737564086914,-0.5532508492469788,,,
HPOB_5906_3917,-0.844901978969574,-0.8349001407623291,-0.8458611965179443,,,
HPOB_5906_9978,-0.9390796422958374,-0.9373084902763368,-0.940664768218994,,,
HPOB_5906_3891,-0.8313554525375366,-0.8780235648155212,-0.8468345999717712,,,
HPOB_5906_6566,-0.9290209412574768,-0.9596823453903198,-0.9661964178085328,,,
HPOB_5906_9889,-0.9460057616233826,-0.9794249832630156,-0.9475821256637572,,,
HPOB_5906_3494,-0.6654186248779297,-0.7860292792320251,-0.5172907114028931,,,
HPOB_5906_37,-0.6677597165107727,-0.6708551049232483,-0.6780104637145996,,,
HPOB_5906_3896,-0.7501779794692993,-0.780893087387085,-0.7539693713188171,,,
HPOB_5889_6566,-0.9704950451850892,-0.9704950451850892,-0.975135624408722,,,
HPOB_5889_14971,-0.832602322101593,-0.8326201438903809,-0.8326112329959869,,,
HPOB_5889_9983,-0.8796483278274536,-0.9077712297439576,-0.8802835941314697,,,
HPOB_5889_3954,-0.8740087151527405,-0.7941067814826965,-0.8481447100639343,,,
HPOB_5889_9977,-0.9637109041213988,-0.9603003859519958,-0.9649185538291932,,,
HPOB_5889_7295,-0.826113224029541,-0.8341968655586243,-0.8337571024894714,,,
