task,baseline_omnipred_24m
AntMorphology-Exact-v0,-99.4006519317627
Superconductor-RandomForest-v0,69.03092956542969
DKittyMorphology-Exact-v0,205.36898040771484
TFBind8-Exact-v0,0.5835463851690292
TFBind10-Exact-v0,0.1047587543725967
gtopx_data_2_1,-97.65384429879776
gtopx_data_3_1,-125.5032654435478
gtopx_data_4_1,-344.8397459221433
gtopx_data_6_1,-207.22796103476253
HopperController-Exact-v0,364.5227813720703
KP_50,9.01760721206665
KP_100,24.6758770942688
KP_200,27.5663161277771
TSP_20,-4.281635165214539
TSP_50,-6.146581172943115
TSP_100,-10.315768480300903
