task,baseline_omnipred_24m,baseline_embed_regress_t5_m_cat_from_scratch,baseline_embed_regress_proj_t5,Expert_GA
gtopx_data_2_1,0.9001050338711465,0.9621969862884994,0.2659653398339241,
gtopx_data_3_1,0.6956788071710591,0.8241339250487247,0.7768276373234352,
gtopx_data_4_1,0.8038445269267088,0.8341268499193024,0.872342153711149,
gtopx_data_6_1,0.7114145298885919,0.5673526810743852,0.0804259784103547,
Superconductor-RandomForest-v0,0.2012612663371566,0.8101551227424859,0.5621345191059247,0.6605855940759634
TFBind8-Exact-v0,0.849384359746162,0.8109373796377032,0.8651648442482318,0.9872415324974088
TFBind10-Exact-v0,0.9233868491968732,0.975128025747834,0.767041436382621,
KP_50,0.8884986892348309,0.8890150315949665,0.9560142580459589,0.8142431343301647
KP_100,0.974081173314047,0.7768578266893326,0.8315645475709381,
KP_200,0.9514248396858624,0.8245944173895609,0.9680539747629112,
TSP_20,-2.203394302701504,0.0,0.0,
TSP_50,0.0,0.0,0.0,
TSP_100,0.0,0.0,0.0,
