task,baseline_embed_regress_proj_t5,baseline_omnipred_24m,baseline_embed_regress_t5_m_cat_from_scratch,Expert_GA,Expert_Grad
AntMorphology-Exact-v0,-227.33230590820312,32.29360580444336,-129.5681610107422,-194.4442443847656,
DKittyMorphology-Exact-v0,73.46258544921875,-18.646448135375977,198.4599456787109,-504.3257751464844,
Superconductor-RandomForest-v0,68.64260864257812,69.20376586914062,97.31407928466795,85.66647338867188,
TFBind8-Exact-v0,0.4543973803520202,0.4750855565071106,0.4282356798648834,0.6637684106826782,
TFBind10-Exact-v0,-0.004703105892986,0.0143940364941954,-0.0719036981463432,0.101701945066452,
HopperController-Exact-v0,57.47769165039063,100.82735443115234,192.097900390625,365.8702697753906,
gtopx_data_2_1,-897.1714768633428,,-136.41188276414022,-206.54124927355656,-567.0092187338413
gtopx_data_3_1,-296.1449036256199,,-134.8481072395506,-201.96153014865305,
gtopx_data_4_1,-169.26601245763663,,-741.5164139782573,-294.1117022835018,
gtopx_data_6_1,-118.1081254181776,,-155.37430525249374,-144.02832663091053,
KP_50,9.29120922088623,,9.422592163085938,5.172175884246826,
KP_100,27.48904037475586,,25.185714721679688,12.072151184082031,
KP_200,23.335987091064453,,22.24476623535156,21.36293029785156,
TSP_20,-12.26872444152832,,-12.093742370605469,-9.071314811706545,
TSP_50,-23.810283660888672,,-24.996746063232425,-9.346848487854004,
TSP_100,-36.025733947753906,,-44.359825134277344,,
LunarLander_136,-3.275657291532362,-149.2925049187902,6.904769496934813,,
LunarLander_100,17.316453305749974,-104.712146023127,-134.9836313675341,,
LunarLander_148,-124.59570075268807,-147.70421755590684,-137.50131031642366,,
LunarLander_91,-43.09738133056139,-16.136590140455784,-24.181679810924585,,
LunarLander_152,-62.02616453546879,-52.66116444291694,-75.68875762350412,,
LunarLander_117,-12.999819429553076,-49.16536308848417,-102.13583751973052,,
LunarLander_174,-83.53814339759188,-200.3750466402909,-131.3958672879807,,
LunarLander_127,-151.6861409255874,-121.43786119818412,-50.01652306168253,,
LunarLander_60,-152.76366079188236,-151.52790855741534,-125.30254232077566,,
LunarLander_163,-94.47670829903892,-112.52611921197352,-98.9305033394946,,
LunarLander_86,-1.2647586374655662,-102.3386579517412,-114.94080306432652,,
LunarLander_142,-142.66220965980628,-138.23762407727168,-160.06980456106112,,
LunarLander_113,-82.95971867266329,-77.88499604750825,-127.54651887508328,,
LunarLander_155,-111.90238849348884,227.36280264308803,40.316106265276446,,
LunarLander_53,-78.62751147643307,-17.937466741518676,-116.67420113544236,,
LunarLander_159,-121.42441049923356,-93.84533963018588,-95.08110050383874,,
LunarLander_180,-87.0612056078582,-157.53603551805784,-11.162045705704768,,
LunarLander_103,-82.188595046408,-84.45448829518972,-115.9477501670837,,
LunarLander_116,-159.25897223242484,-94.359564155548,-77.01539876074023,,
RobotPush_256,0.0116594893741521,0.0,0.0,,
RobotPush_210,-0.4954784635058816,-0.5777212550770555,0.6210110314192406,,
RobotPush_12,2.4264006128422344,2.429445451590768,1.0650974456465954,,
RobotPush_125,0.356558524585471,0.0,0.8252133367417105,,
RobotPush_140,-0.922496130126969,-1.9116356595208264,-2.1924250496427886,,
RobotPush_96,2.393879380900181,2.150999255166605,2.432988135054881,,
