task,baseline_embed_regress_proj_t5,baseline_omnipred_24m,baseline_embed_regress_t5_m_cat_from_scratch
AntMorphology-Exact-v0,0.1173903103917837,0.2411747314035892,0.1467486172914505
DKittyMorphology-Exact-v0,0.3085097000002861,0.7438722550868988,0.3091983199119568
Superconductor-RandomForest-v0,0.2680413424968719,0.1873205676674842,0.371821790933609
TFBind8-Exact-v0,0.3456814512610435,0.3750850409269333,0.3433930873870849
TFBind10-Exact-v0,0.4061447605490684,0.4114642143249511,0.4007379710674286
HopperController-Exact-v0,-0.007267749751918,-0.0551277007907629,0.0362800890579819
gtopx_data_2_1,0.9995961296868175,0.9998326993601754,0.9993440103347956
gtopx_data_3_1,0.99988087093841,0.9999706400337274,0.9999912356343928
gtopx_data_4_1,0.9999998294230432,0.9999998317327596,0.9999998814280584
gtopx_data_6_1,0.99989081116438,0.9999587737317718,0.9999321770476866
KP_50,1.884981393814087,,2.074208438396454
KP_100,2.1290314197540283,,2.0777361392974854
KP_200,2.109577476978302,,2.03630530834198
TSP_20,0.0224632220342755,,-0.0470476970076561
TSP_50,0.0144237258937209,,0.0505438055843114
TSP_100,0.3808424547314644,,0.1237180940806865
LunarLander_136,0.0292040648773989,,0.5092611026544491
LunarLander_100,0.4010479520998144,,0.3005551488268333
LunarLander_148,0.5823192616626924,,0.6390236302432031
LunarLander_91,0.3808676866854196,,0.4655070823985521
LunarLander_152,0.3286919657017151,,0.6059970231311728
LunarLander_117,0.679826117823547,,0.6013108135088266
LunarLander_174,0.5352774477107264,,0.4421481088421184
LunarLander_127,0.3590187445758157,,0.8203912733453915
LunarLander_60,-0.0351358396724656,,0.1306600288630273
LunarLander_163,0.9020245550751068,,0.886841239558213
LunarLander_86,0.6380051402767563,,0.5143016221245399
LunarLander_142,0.3446830414800312,,0.317181013464872
LunarLander_113,0.308596484889734,,0.3128719017121957
LunarLander_155,0.6336450901085378,,0.7244101771031154
LunarLander_53,0.4628683954349405,,0.3219779702905356
LunarLander_159,0.0693985143848291,,0.4340325498472826
LunarLander_180,0.3178066599807096,,0.4648507002477822
LunarLander_103,0.2724591063185471,,-0.0917695409083053
LunarLander_116,0.4079665185358596,,0.633801226153457
RobotPush_256,0.9362767455628492,,0.9218747015940671
RobotPush_210,0.7998469926643197,,0.786747823844548
RobotPush_12,0.4586014341224358,,0.590646755980027
RobotPush_125,0.6579182666133604,,0.6892340137030148
RobotPush_140,0.4094011958826623,,0.547454201264747
RobotPush_96,0.5491661718413592,,0.6762961889857599
RobotPush_172,0.3929977080664647,,0.4363951927810466
RobotPush_182,1.0,,1.0
RobotPush_123,0.5018556818529588,,0.5594730755223762
RobotPush_22,0.2942046416085135,,
RobotPush_11,0.7742284893419793,,
RobotPush_144,0.4540030571656055,,
RobotPush_298,0.7799425213283213,,
RobotPush_291,0.6619568677106535,,
RobotPush_90,0.5728797857215129,,
RobotPush_57,0.5550297709047538,,
