task,baseline_embed_regress_proj_t5,baseline_omnipred_24m,baseline_embed_regress_t5_m_cat_from_scratch,Expert_GA,Expert_Grad
AntMorphology-Exact-v0,0.5079327821731567,0.3896247744560241,,0.17607381939888,
DKittyMorphology-Exact-v0,0.3102132678031921,0.8872206211090088,,0.3085458874702453,
Superconductor-RandomForest-v0,0.1088410168886184,0.3916149735450744,,0.4547127783298492,
TFBind8-Exact-v0,0.4514596164226532,0.4662052094936371,,0.6913681030273438,
TFBind10-Exact-v0,0.4278958439826965,0.4630082249641418,,0.4872747361660003,
HopperController-Exact-v0,0.056810412555933,-0.0032564215362071,,0.0120050404220819,
gtopx_data_2_1,0.99984219404958,0.999856144909209,0.9997591789744242,0.99985147536093,0.9993909393778264
gtopx_data_3_1,0.9999585152874576,0.999988870819734,0.9999360158701576,0.9999869507995056,
gtopx_data_4_1,0.9999998535269308,0.9999993916396608,0.9999999003898108,0.9999998314034264,
gtopx_data_6_1,0.9999215919476528,0.999935888518746,0.9999286961412096,0.999945266587671,
KP_50,2.061972618103028,2.104785442352295,2.1500887870788574,1.9545753002166748,
KP_100,2.213099479675293,2.127470016479492,2.1462228298187256,1.7269665002822876,
KP_200,1.9884933233261108,2.093779325485229,1.993077635765076,2.018630266189575,
TSP_20,0.018412634730339,0.3450164198875427,0.051568791270256,0.4326840043067932,
TSP_50,0.0379277169704437,0.2575488686561584,-0.0512794181704521,0.846842885017395,
TSP_100,0.2864512801170349,0.059267833828926,0.250612735748291,,
LunarLander_136,0.5370975933168675,0.4919239141234281,0.439573588554986,,
LunarLander_100,0.4918696532845176,0.5666293618422051,0.5179612063883297,,
LunarLander_148,0.5213134624641442,0.7362316491296527,0.5727990941763558,,
LunarLander_91,0.585220107352247,0.5611993418067769,0.5608190442664293,,
LunarLander_152,0.5027879871992117,0.7015506195254089,0.8289365524330102,,
LunarLander_117,0.5629487713637255,0.5274756555479678,0.5686547698374376,,
LunarLander_174,0.4684905979018293,0.3812307151158116,0.6325479494598323,,
LunarLander_127,0.5871265326269233,0.6836248999409118,0.7794009726295099,,
LunarLander_60,0.6928223990176308,0.5933181107887036,0.6979741137608669,,
LunarLander_163,0.8534644093235919,0.8863925755974511,0.870087595296482,,
LunarLander_86,0.6080297243982504,0.1784948271866189,0.6406216167826008,,
LunarLander_142,0.3482198142434767,0.5579668147670036,0.3056851254078429,,
LunarLander_113,0.3262994711725075,0.2835163635917544,0.4741160159929811,,
LunarLander_155,0.6683415977133804,0.4647499518780992,0.4628417878201157,,
LunarLander_53,0.4151785591240609,-0.1367397630398119,0.7023391541598296,,
LunarLander_159,0.4444652591097199,0.4143562270230683,0.5848131089822479,,
LunarLander_180,0.4544252152129489,0.4950886552316431,0.4146780609268256,,
LunarLander_103,0.6787269721129207,-0.052412795330981,-0.2073391942793269,,
LunarLander_116,0.3066787188466212,0.3453273802733727,0.8601162434790038,,
RobotPush_256,1.017083822329261,0.9362767455628492,1.1205511797239542,,
RobotPush_210,0.7878755769641748,0.7877966486097833,0.777212072552999,,
RobotPush_12,0.6163246980779702,0.8065431965984784,0.6368406296002653,,
RobotPush_125,0.5869365775065258,0.6579182666133604,0.6579182666133604,,
RobotPush_140,0.76482175797243,0.6230433313542145,0.8498654089652148,,
RobotPush_96,0.5834974235841293,0.6864531445876683,0.6585247009798527,,
RobotPush_172,0.4257634903037722,0.5239947281831905,0.4526677000294424,,
RobotPush_182,1.0,1.0,1.0,,
