task,baseline_embed_regress_proj_t5,baseline_omnipred_24m,baseline_embed_regress_t5_m_cat_from_scratch,Expert_GA,Expert_Grad,baseline_embed_regress_proj_t5_addmeta
AntMorphology-Exact-v0,243.51620864868164,83.79998397827148,,-165.83673095703125,-82.38505554199219,
DKittyMorphology-Exact-v0,20.666403770446777,233.4246253967285,,-501.66381072998047,-60.12658214569092,
Superconductor-RandomForest-v0,70.66291809082031,75.36100769042969,,86.21737670898438,87.05366134643555,
TFBind8-Exact-v0,0.5732100307941437,0.5498237162828445,,0.8089849501848221,0.5533851385116577,
TFBind10-Exact-v0,0.0028490703552961,0.2065801955759525,,0.189023595303297,0.1555298939347267,
HopperController-Exact-v0,173.62718200683594,87.53386306762695,,105.3273696899414,115.5154800415039,
gtopx_data_2_1,-168.55760274216613,-155.87439618969938,-207.25330538083296,-156.12393383613397,-289.59730899383794,
gtopx_data_3_1,-288.5605316607793,-135.61156484463254,-794.3255840075246,-174.57282569104777,-151.18979217783007,
gtopx_data_4_1,-247.84484789422245,-693.7521837546633,-165.62079684734215,-187.82566765631685,-215.7155676892416,
gtopx_data_6_1,-114.5650050341502,-112.35343457100748,-113.9480183302639,-72.46443906550012,-112.59916211889862,
KP_50,9.232507705688477,10.729558229446411,10.328086614608765,7.616145610809326,9.083622217178345,
KP_100,28.48178339004517,26.98892974853516,26.28826332092285,13.31687068939209,26.55572271347046,
KP_200,24.546703338623047,24.663997650146484,20.883602142333984,22.073894500732425,26.37128591537476,
TSP_20,-11.506255149841309,-8.352323770523071,-11.13340950012207,-8.087138652801514,-10.436874389648438,
TSP_50,-22.16817092895508,-17.91714334487915,-21.719780921936035,-7.966105461120605,-24.09225559234619,
TSP_100,-36.15770626068115,-43.96202754974365,-36.90802001953125,-13.930083751678469,-49.520822525024414,
LunarLander_136,35.99213441466632,12.828793999566429,18.616124743694314,-15069.744470879788,,
LunarLander_100,-28.529371585618627,15.454006770579428,31.048113269676783,,,
LunarLander_148,-68.73497730078266,-21.033600609538794,-116.00432283464664,,,
LunarLander_91,-13.887592394564791,-12.083293038556516,-10.366996159199122,,,
