task,baseline_embed_regress_proj_t5,baseline_embed_regress_t5_m_cat_from_scratch,baseline_omnipred_24m,Expert_GA
AntMorphology-Exact-v0,0.2919115200638771,0.2194675058126449,0.287912368774414,0.1347629018127918
DKittyMorphology-Exact-v0,0.8302698731422424,0.6984942108392715,0.7181549072265625,0.3134077563881874
Superconductor-RandomForest-v0,0.3566891551017761,0.4051319658756256,0.2736738622188568,0.4515849649906158
TFBind8-Exact-v0,0.3450011387467384,0.3650218620896339,0.4103487059473991,0.5717307925224304
TFBind10-Exact-v0,0.4238451495766639,0.4097345396876335,0.3877869993448257,0.443439170718193
HopperController-Exact-v0,-0.023129865527153,-0.0507114455103874,-0.0043419420253485,-0.0174732943996787
gtopx_data_2_1,0.999720825243492,0.9969822587158226,0.9998390303183216,0.999799188983573
gtopx_data_3_1,0.9999695139030051,0.9999658953989592,0.9999864788794464,0.9999871224054786
gtopx_data_4_1,0.9999998409727712,0.9999981911641408,0.999999865822812,0.9999998647245196
gtopx_data_6_1,0.998090332844538,0.9999407554854643,0.9995265721048158,0.9999189093088792
KP_50,2.040229797363281,2.097520351409912,2.02892404794693,1.868488281965256
KP_100,2.12650990486145,2.075570583343506,2.0970609188079834,1.7113195657730105
KP_200,1.996766656637192,2.012570381164551,2.101781129837036,1.9921385049819944
TSP_20,-0.0469234846532344,0.0168058145791292,0.2969360873103142,0.2321759089827537
TSP_50,0.0498761748895049,-0.0631879419088363,0.2936773672699928,
TSP_100,0.1705185957252979,0.0538068087771534,0.1139745078980922,
LunarLander_136,0.4644799675224834,0.4891691663957188,,
LunarLander_100,0.4168356403881409,0.590780522536743,,
LunarLander_148,0.4127348817808505,0.6077121462512244,,
LunarLander_91,0.5553939985979923,0.5358352582188906,,
LunarLander_152,0.5128787455702204,0.6071996459347421,,
LunarLander_117,0.6270447980335412,0.5893457252517615,,
LunarLander_174,0.4695817364652739,0.4888848589250593,,
LunarLander_127,0.5885926792615446,0.679090823451356,,
LunarLander_60,0.7082666229076883,0.5208298248517652,,
LunarLander_163,0.9075612782256144,0.8969354761947823,,
LunarLander_86,0.4688619571001466,0.4442729379253048,,
LunarLander_142,0.354166248595147,0.2898620409828263,,
LunarLander_113,0.3175647428930329,-0.0591248543662443,,
LunarLander_155,0.6294128584450691,0.4824606875355394,,
LunarLander_53,0.4764330151266253,0.1495363291121113,,
LunarLander_159,0.0805956196304778,0.1937417709354864,,
LunarLander_180,0.5777615170334311,0.3566774500347747,,
LunarLander_103,0.6719444859709643,0.1456100662713592,,
LunarLander_116,0.5638374605491939,0.0123471142766653,,
RobotPush_256,0.9565350807067,0.939941219620928,,
RobotPush_210,0.7837597324187802,0.7884723164302957,,
RobotPush_12,0.8211776770176321,0.5808363773702072,,
RobotPush_125,0.6579182666133604,0.6579182666133604,,
RobotPush_140,1.23560614203493,0.6315317168300347,,
RobotPush_96,0.6181961809672778,0.6978195027667252,,
RobotPush_172,0.3929977080664647,0.3929977080664647,,
RobotPush_182,1.0,1.0,,
RobotPush_123,0.647948076594925,0.6987625104650437,,
RobotPush_22,0.7426491604875975,0.4814534813635591,,
RobotPush_11,0.5724839626698803,0.5209797472620752,,
RobotPush_144,0.4860158172353232,0.5377103518235389,,
RobotPush_298,0.7575607109176233,0.7881201596597384,,
RobotPush_291,0.6673406286346404,0.6176065700560471,,
RobotPush_90,0.7572063790136374,0.4884885661000715,,
RobotPush_57,0.7968351516243225,0.3661388749838561,,
RobotPush_160,0.9010210612331626,0.948303164850579,,
RobotPush_250,0.9368566514909836,0.9050710371568952,,
RobotPush_21,0.708621849215577,0.6028538941247918,,
RobotPush_100,0.4854816619545575,0.6554076745578018,,
Rover_107,0.8894538154811203,0.9153547396551452,,
Rover_160,0.8251860169902012,0.764102260360255,,
Rover_292,0.6769872630608633,0.8014933036284996,,
