task,baseline_embed_regress_proj_t5,baseline_embed_regress_t5_m_cat_from_scratch,baseline_omnipred_24m,Expert_GA,Expert_Grad
AntMorphology-Exact-v0,-35.13477325439453,-101.59860229492188,-25.07733154296875,-208.479248046875,-221.8050079345703
DKittyMorphology-Exact-v0,168.59593200683594,53.72993850708008,0.1206119880080223,-184.5123291015625,-5.553528308868408
Superconductor-RandomForest-v0,69.98934936523438,91.77670288085938,50.74791717529297,83.5433349609375,83.28990173339844
TFBind8-Exact-v0,0.4399816393852234,0.439167320728302,0.5181266069412231,0.698135256767273,0.4721220135688782
TFBind10-Exact-v0,-0.0332514196634292,-0.0308129005134105,-0.1221945136785507,0.0682235062122345,-0.0038420625496655
HopperController-Exact-v0,188.84375,38.58032989501953,89.62718200683594,72.66459655761719,96.68391418457033
gtopx_data_2_1,-165.00669454823498,-1720.5903851282403,-165.12073392977675,-200.3038509725363,-667.959855327624
gtopx_data_3_1,-257.1798999694171,-293.16466723023746,-187.5520619894687,-143.97031957500494,-151.18979217783007
gtopx_data_4_1,-275.7147844137326,-772.8898816847243,-237.9853893945844,-198.15140869896152,-215.7155676892416
gtopx_data_6_1,-420.8236845354976,-102.1060996694502,-768.6361860780827,-140.27542012503227,-112.59916211889862
KP_50,8.686671257019043,9.665712356567385,9.615982055664062,7.355339527130127,8.089624404907227
KP_100,25.82183074951172,24.548433303833008,25.31986427307129,14.317904472351074,25.40536880493164
KP_200,22.532791137695312,21.90885353088379,25.54892921447754,21.744712829589844,24.47088050842285
TSP_20,-11.94403076171875,-11.390942573547363,-8.773702621459961,-9.35940170288086,-11.447531700134276
TSP_50,-21.55069351196289,-24.308313369750977,-17.252819061279297,-8.912772178649902,-25.02992820739746
TSP_100,-40.87955474853516,-40.69663238525391,-43.1591682434082,-12.277547836303713,-50.96868896484375
LunarLander_136,19.095602515930352,5.29056728257868,,-25750.79858020459,
LunarLander_100,-45.70450645464997,84.75830276329526,,,
LunarLander_148,-159.58827935793886,-83.91181650823044,,,
LunarLander_91,-14.50155759560311,-21.83439634171774,,,
LunarLander_152,-86.58109093951828,-35.64984585441043,,,
LunarLander_117,-54.09770059609481,-68.51861566222689,,,
LunarLander_174,-105.8400005419071,-109.17135075518884,,,
LunarLander_127,-80.92981855516585,-56.22907404596916,,,
LunarLander_60,-136.68539306185872,-179.23942859924358,,,
LunarLander_163,55.47698097508922,2.945104802369017,,,
LunarLander_86,-81.90504855498739,-139.95412926041968,,,
LunarLander_142,-128.74405646043246,-147.7565968513508,,,
LunarLander_113,-110.26181982750256,-115.29499645573564,,,
LunarLander_155,96.61673355976563,-24.04986464664369,,,
LunarLander_53,-75.67857485623699,-186.3744947235974,,,
LunarLander_159,-102.04549230561916,-114.61304406747244,,,
LunarLander_180,-75.99418522758647,-157.53603551805784,,,
LunarLander_103,-81.31199799985663,-96.35152109060498,,,
