task,baseline_embed_regress_proj_t5,baseline_embed_regress_t5_m_cat_from_scratch,baseline_omnipred_24m,Expert_GA,Expert_Grad
Superconductor-RandomForest-v0,0.3161529456944518,0.7354709689388974,0.9167866307398186,0.6549186667340817,0.9610129231706412
TFBind8-Exact-v0,0.8230777263104654,0.8453910677148232,0.8695219136173219,0.98352812818237,0.8397565811220131
TFBind10-Exact-v0,0.824182870776235,0.7782945174691454,0.7236377579034676,0.946061905500336,0.7611997810552745
gtopx_data_2_1,0.8570406494696682,0.7714060361117017,0.7258623008536171,0.915713668383674,0.7647590863371649
gtopx_data_3_1,0.4538584120118344,0.5712168776206198,0.6210419107803952,0.923343099806035,0.0
gtopx_data_4_1,0.7199718902721641,0.7990341299286916,0.7526380769621124,0.8242368764076005,0.0
gtopx_data_6_1,0.8782000005859896,0.5773862529044881,0.2523773726178993,0.5491091280828347,0.0
KP_50,0.8954611816696172,0.819670139955506,0.940839331719574,0.9040176083095371,0.9420862786362107
KP_100,0.877826937969261,0.8259980177999393,0.8705143619537794,0.7666858813090518,0.9288503887624204
KP_200,0.9100929676357656,0.8307426793073904,0.9477061345914676,0.951433047338764,0.9410321132936026
TSP_20,0.0,0.0,0.0,-0.0324185633216875,-inf
TSP_50,0.0,0.0,0.0,0.0,-inf
TSP_100,0.0,0.0,0.0,0.0,-inf
