task,baseline_embed_regress_proj_t5,baseline_omnipred_24m,baseline_embed_regress_t5_m_cat_from_scratch,Expert_GA,Expert_Grad
gtopx_data_2_1,0.909080718742387,,0.9636496555640102,0.7794899020473884,0.8454833289679569
gtopx_data_3_1,0.8538292505043027,,0.964639611435251,0.8178085858819623,0.0
Superconductor-RandomForest-v0,0.3021277727966793,0.2566302871877888,,0.4875315828627724,0.8948329722858495
TFBind8-Exact-v0,0.866341261939925,0.9865263207122926,,0.9770193395373034,0.83412363423293
gtopx_data_4_1,0.7626150554176845,,0.8940205897876824,0.7276286635022856,0.0
TFBind10-Exact-v0,0.729511159257516,0.4801383780814386,,0.5797955930507748,0.8381941374023776
gtopx_data_6_1,0.2786100125699318,,0.7406635934827249,0.7650165174992317,0.0
KP_50,0.8675292031521581,,0.8570165107810969,0.8100569565817684,0.9482375248048108
KP_100,0.8616577689982751,,0.836193587248083,0.8206961664732416,0.9560481238324812
KP_200,0.9540529696086172,,0.8968220750705755,0.8922664935883876,0.9421167161307646
TSP_20,0.0,,0.0,0.0,-inf
TSP_50,0.0,,0.0,0.0,-inf
TSP_100,0.0,,0.0,0.0,-inf
