task,baseline_embed_regress_proj_t5,baseline_omnipred_24m,baseline_embed_regress_t5_m_cat_from_scratch
AntMorphology-Exact-v0,-201.2386283874512,-141.81509399414062,
DKittyMorphology-Exact-v0,-502.4273834228516,-274.2238464355469,
gtopx_data_2_1,-1307.945163069116,-281.5282104950013,-193.8181790749324
Superconductor-RandomForest-v0,53.28066635131836,55.78669548034668,
gtopx_data_3_1,-2052.363413377254,,-769.7895252195415
TFBind8-Exact-v0,0.3748428151011467,0.3768296614289284,
gtopx_data_4_1,-1407.6969720650447,,-507.8638925289964
TFBind10-Exact-v0,-0.2540117353200912,-0.2815377861261368,
gtopx_data_6_1,-124.75315882169832,,-192.4257696182684
KP_50,7.405659198760986,,9.643391609191896
KP_100,23.803565979003903,,23.72219038009644
KP_200,21.511589527130127,,22.66275215148925
TSP_20,-12.4106285572052,,-12.745125532150269
TSP_50,-23.05178642272949,,-24.22016334533692
TSP_100,-36.256935119628906,,-40.55255699157715
HopperController-Exact-v0,75.04589653015137,168.37163543701172,
LunarLander_136,-267.0971375240436,,9.46094655161961
LunarLander_100,-154.74961652308693,,-246.47200936455025
LunarLander_148,-147.4076978539017,,-168.6882016673672
LunarLander_91,-40.19832859120298,,-49.0846464744824
LunarLander_152,-177.64887008196249,,-101.32232565569387
LunarLander_117,-37.69046827627757,,-106.1304485345074
LunarLander_174,-154.51803596169995,,-156.90949311552632
LunarLander_127,-77.8908104931374,,-140.1198229568069
LunarLander_60,-139.31243509045476,,-179.37805195899728
LunarLander_163,14.648196674822191,,-75.52843471166048
LunarLander_86,-88.670592291632,,-131.23066321130983
LunarLander_142,-123.74662881619636,,-160.5877765986094
LunarLander_113,-37.2337846386674,,-95.9464750877628
LunarLander_155,20.686262117870964,,75.79135491582134
LunarLander_53,-106.73126305348478,,-138.6950766131244
LunarLander_159,-92.7018906974485,,-110.45792008869074
LunarLander_180,-113.45104089219676,,-157.53603551805784
LunarLander_103,-102.20387998944184,,-106.38664551660662
LunarLander_116,-108.16173880192748,,-145.16390560538952
RobotPush_256,-0.0046765242377326,,2.5998162438547762e-09
RobotPush_210,0.0,,0.0
RobotPush_12,1.0167281685037473,,1.6504416504409436
RobotPush_125,0.0,,0.0
RobotPush_140,-1.384590891132781,,-1.5928634418476222
RobotPush_96,2.148708558305557,,2.3113043039955525
RobotPush_172,0.0,,0.0131856208161115
RobotPush_182,0.0,,0.0
RobotPush_123,1.599664882210953,,-0.1462476630048661
RobotPush_22,1.490183047713526,,0.1598318270608635
RobotPush_11,0.979465776955324,,0.12318157498093425
RobotPush_144,-1.058948137792868,,
RobotPush_298,0.1017118130616353,,
RobotPush_291,0.2253337025759833,,
RobotPush_90,4.87928376050589,,
RobotPush_57,0.3133396229753957,,
RobotPush_160,0.2014182351305273,,
RobotPush_250,-0.125360399663379,,
RobotPush_21,4.693627449004399,,
RobotPush_100,2.141563280205643,,
HPOB_5906_9914,-0.9461042881011964,,
Rover_107,-1.3624034119692277,,
HPOB_5906_9952,-0.7902089357376099,,
Rover_160,-11.89759576089356,,
HPOB_5906_3492,-0.7885394096374512,,
Rover_292,-10.210345839540842,,
HPOB_5906_3493,-0.6571690440177917,,
Rover_130,-7.474382876004642,,
HPOB_5906_3954,-0.8474175333976746,,
Rover_85,-9.77288305712604,,
HPOB_5906_7295,-0.834509015083313,,
Rover_54,-4.874578629753512,,
HPOB_5906_49,-0.6514819860458374,,
Rover_205,-4.569369150222506,,
HPOB_5906_14965,-0.8881299495697021,,
HPOB_5906_14951,-0.6642596125602722,,
Rover_150,-11.941346429828505,,
HPOB_5906_31,-0.7468183040618896,,
Rover_97,-6.079122280419378,,
HPOB_5906_125923,-0.8619921803474426,,
Rover_26,-7.812744824560615,,
HPOB_5906_3,-0.9319746494293212,,
Rover_215,-15.60137619103225,,
HPOB_5906_3902,-0.896818995475769,,
Rover_63,-20.21188549626083,,
HPOB_5906_9957,-0.8414989113807678,,
Rover_294,-3.258531970829736,,
HPOB_5906_9967,-0.9871978759765624,,
Rover_56,-4.671891875071071,,
HPOB_5906_9983,-0.8950316905975342,,
Rover_13,-14.839127260896444,,
HPOB_5906_3917,-0.8461202383041382,,
Rover_135,-6.232386543014181,,
HPOB_5906_9978,-0.9374129176139832,,
Rover_82,-16.005243683144013,,
HPOB_5906_3891,-0.8554896712303162,,
HPOB_5906_6566,-0.9588758945465088,,
Rover_165,-12.885125063906612,,
HPOB_5906_9889,-0.9460887908935548,,
Rover_252,-22.38238560010284,,
HPOB_5906_3494,-0.7771891951560974,,
Rover_43,-18.35012593630905,,
HPOB_5906_37,-0.6744535267353058,,
HPOB_5906_3896,-0.8153035640716553,,
HPOB_5889_6566,-0.9752682447433472,,
HPOB_5889_14971,-0.8267034292221069,,
HPOB_5889_9983,-0.9111952185630798,,
HPOB_5889_3954,-0.8767673969268799,,
HPOB_5889_9977,-0.9666810631752014,,
HPOB_5889_7295,-0.82578444480896,,
HPOB_5889_3889,-0.993067979812622,,
HPOB_5889_9970,-0.578390970826149,,
HPOB_5889_3891,-0.9337571561336516,,
HPOB_5889_9978,-0.9434991478919984,,
HPOB_5889_3917,-0.8639783263206482,,
HPOB_5889_9957,-0.8630138039588928,,
HPOB_5889_9980,-0.9153242707252502,,
HPOB_5889_3494,-0.9886751770973206,,
HPOB_5889_10101,-0.7750595808029175,,
HPOB_5889_31,-0.7570499777793884,,
HPOB_5889_3493,-0.9319767355918884,,
HPOB_5889_3913,-0.8382031917572021,,
HPOB_5889_9946,-0.9523706436157228,,
HPOB_5889_125923,-0.8621322512626648,,
